fid,building_volume,population_density,greenhouse_coverage,road_density,light_pollution,city
8372,0.0,0.0,0.0,,20.0,Amsterdam
8373,0.0,0.0,0.0,,20.0,Amsterdam
8374,8051.41309,33.76502,0.0,,19.0,Amsterdam
8375,0.0,0.0,0.0,,19.0,Amsterdam
8376,5964.60059,35.02102,0.0,3.26084,21.0,Amsterdam
8377,69637.99219,121.77935,0.0,9.62901,22.0,Amsterdam
8378,5531.10547,0.10436,0.0,4.81863,20.0,Amsterdam
8379,0.0,0.0,0.0,3.98788,20.0,Amsterdam
8380,0.0,0.0,0.0,0.02272,20.0,Amsterdam
8381,0.0,0.0,0.0,6.25858,20.0,Amsterdam
8382,0.0,16.03839,0.0,8.3438,21.0,Amsterdam
8383,0.0,0.0,0.0,2.0006,25.0,Amsterdam
8384,0.0,0.0,0.0,,26.0,Amsterdam
8385,0.0,0.0,0.0,3.15903,44.0,Amsterdam
8386,0.0,0.0,0.0,2.33984,44.0,Amsterdam
8387,0.0,5.50992,0.0,12.10075,93.0,Amsterdam
8388,303117.09375,314.07813,0.0,30.93913,153.0,Amsterdam
8389,364639.78125,496.87369,0.0,26.10059,148.0,Amsterdam
8390,218963.73438,227.70071,0.0,43.24353,105.0,Amsterdam
8391,22344.0332,14.74082,0.0,15.78624,105.0,Amsterdam
8392,1597.1239,18.21227,0.0,7.45101,63.0,Amsterdam
8393,3852.86279,10.42019,0.0,6.0502,47.0,Amsterdam
8394,0.0,0.29124,0.0,4.71321,52.0,Amsterdam
8395,8181.21631,9.16011,0.0,3.48427,65.0,Amsterdam
8396,10441.48926,25.3266,0.0,8.93467,65.0,Amsterdam
8397,0.0,0.0,0.0,6.67757,110.0,Amsterdam
8398,74527.35156,163.56599,0.0,25.81578,221.0,Amsterdam
8399,271066.90625,278.91818,0.01903,58.0691,350.0,Amsterdam
8400,259780.8125,462.96939,0.0,39.90923,328.0,Amsterdam
8401,566510.0,1263.85742,0.0,53.67509,328.0,Amsterdam
8402,1488941.125,830.24677,0.0,53.45721,354.0,Amsterdam
8403,472436.1875,811.30359,0.0,42.82773,384.0,Amsterdam
8404,295806.59375,816.18005,0.0,47.12789,296.0,Amsterdam
8405,674803.5625,691.1814,0.0,43.38637,223.0,Amsterdam
8406,820239.0,274.30563,0.0,40.24277,223.0,Amsterdam
8407,60057.54297,309.79413,0.0,20.8449,171.0,Amsterdam
8408,75180.75781,406.11194,0.0,27.88513,125.0,Amsterdam
8409,58271.71094,999.13501,0.0,33.92157,132.0,Amsterdam
8410,28897.46289,350.21509,0.0,32.36752,145.0,Amsterdam
8411,211689.6875,203.88399,0.0,21.73742,135.0,Amsterdam
8412,432046.5,303.0509,0.0,37.97316,135.0,Amsterdam
8413,377042.53125,274.65738,0.0,33.54403,115.0,Amsterdam
8414,11374.78809,23.87389,0.0,13.50786,74.0,Amsterdam
8415,1860.7959,11.00844,0.0,22.72891,40.0,Amsterdam
8416,7759.66357,29.49911,0.0,27.79241,33.0,Amsterdam
8417,429.49298,7.91577,0.0,10.30244,33.0,Amsterdam
8418,99769.33594,131.93832,0.0,16.62501,34.0,Amsterdam
8419,179032.9375,265.74591,0.0,14.05318,36.0,Amsterdam
8420,61329.39844,217.41577,0.0,10.62346,37.0,Amsterdam
8421,19633.76953,144.24345,0.0,4.87153,34.0,Amsterdam
8422,18599.28125,93.18723,0.0,5.04122,34.0,Amsterdam
8423,72738.63281,239.3083,0.0,11.20848,26.0,Amsterdam
8424,8641.12598,52.76085,0.0,4.01916,22.0,Amsterdam
8425,0.0,5.07839,0.0,6.67242,19.0,Amsterdam
8426,0.0,0.0,0.0,2.27477,17.0,Amsterdam
8427,0.0,0.0,0.0,0.16942,17.0,Amsterdam
8428,0.0,0.0,0.0,7.71172,17.0,Amsterdam
8429,241186.875,503.62659,0.0,26.12028,553.0,Amsterdam
8430,8041983.5,881.70648,0.0,32.54439,640.0,Amsterdam
8431,1422691.375,597.16882,0.0,46.34031,538.0,Amsterdam
8432,3704535.0,564.98517,0.0,39.33803,538.0,Amsterdam
8433,4196433.0,808.55322,0.0,39.6871,503.0,Amsterdam
8434,14925816.0,1086.26196,0.0,50.68145,472.0,Amsterdam
8435,7569346.5,1288.29858,0.0,59.31084,456.0,Amsterdam
8436,3902010.5,1076.29004,0.0,40.6032,384.0,Amsterdam
8437,2477253.75,818.0379,0.0,34.84656,384.0,Amsterdam
8438,586907.25,1027.08484,0.0,40.84882,351.0,Amsterdam
8439,7659011.0,1269.90735,0.0,39.29661,336.0,Amsterdam
